Priority,Payment_Name,ContractNumber,SM_ACH_Order__c,Amount,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Report_Txn_Date,Report_Source_File,Report_Type,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Estado_Aplicado
T4_SUBESTADO_MENOR,PY-01771764,00315195,a04UU00000EaLVhYAN,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771765,00315110,a04UU00000Ee8ObYAJ,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771766,00314896,a04UU00000Efh5nYAB,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771769,00315140,a04UU00000ElvVpYAJ,79,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771771,00314484,a04UU00000En7V1YAJ,100,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771772,00315142,a04UU00000Er4qDYAR,75,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771781,00314314,a04UU00000Et6r7YAB,114,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Jan 9-12 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771787,00314977,a04UU00000Ev5KfYAJ,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Jan 9-12 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771796,00315195,a04UU00000FDfueYAD,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771799,00315110,a04UU00000FHsrYYAT,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771805,00312894,a04UU00000FMZhgYAH,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771806,00314896,a04UU00000FMZhhYAH,104,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T4_SUBESTADO_MENOR,PY-01771813,00314484,a04UU00000FXsdhYAD,100,REJECTED,PENDING,,2025-12-31,REJECTED,NOT_COLLECTED,,,2025-12-31,Check Collections Feb 13 2026.pdf,collections,PASTDUE DATE,NOT COLLECTED,OTRO_DESAJUSTE,False,False,2026-09-09T15:01:15.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
