ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00316651;Cancelled;1395;PAID;16CKRaVKpcNY01Uo6;CANCELLED;10;REJECTED x10
00316651;Cancelled;1396;PAID;16CKRaVKpcNY01Uo6;CANCELLED;10;REJECTED x10
00316651;Cancelled;2725;PAID;16CKRaVKpcNY01Uo6;CANCELLED;4;REJECTED x4
00316651;Cancelled;2894;PAID;16CKRaVKpcNY01Uo6;CANCELLED;6;REJECTED x6
00316651;Cancelled;4853;PAID;16CKRaVKpcNY01Uo6;CANCELLED;1;REJECTED x1
00316651;Cancelled;5096;PAID;16CKRaVKpcNY01Uo6;CANCELLED;5;REJECTED x5
00316651;Cancelled;7201;PAID;16CKRaVKpcNY01Uo6;CANCELLED;4;REJECTED x4
00316651;Cancelled;7438;PAID;16CKRaVKpcNY01Uo6;CANCELLED;4;REJECTED x4
00316735;Cancelled;254;PAID;AzZUfzVCLNMbI5S1;CANCELLED;42;REJECTED x42
00316735;Cancelled;257;PAID;AzZUfzVCLNMbI5S1;CANCELLED;42;REJECTED x42
00316735;Cancelled;565;PAID;AzZUfzVCLNMbI5S1;CANCELLED;32;REJECTED x32
00316735;Cancelled;577;PAID;AzZUfzVCLNMbI5S1;CANCELLED;32;REJECTED x32
00316735;Cancelled;1955;PAID;AzZUfzVCLNMbI5S1;CANCELLED;22;REJECTED x22
00316735;Cancelled;1978;PAID;AzZUfzVCLNMbI5S1;CANCELLED;22;REJECTED x22
00316735;Cancelled;3806;PAID;AzZUfzVCLNMbI5S1;CANCELLED;12;REJECTED x12
00316735;Cancelled;3999;PAID;AzZUfzVCLNMbI5S1;CANCELLED;12;REJECTED x12
00316735;Cancelled;5973;PAID;AzZUfzVCLNMbI5S1;CANCELLED;8;REJECTED x8
00316735;Cancelled;6397;PAID;AzZUfzVCLNMbI5S1;CANCELLED;8;REJECTED x8
00316036;Cancelled;7214;PAID;16BQPKVQavNU73VPv;CANCELLED;1;REJECTED x1
00316036;Cancelled;7401;PAID;16BQPKVQavNU73VPv;CANCELLED;1;REJECTED x1
00316289;Cancelled;1439;PAID;6oqnEVKljSce2TE8;CANCELLED;22;REJECTED x22
00316289;Cancelled;1457;PAID;6oqnEVKljSce2TE8;CANCELLED;22;REJECTED x22
00316289;Cancelled;3449;PAID;6oqnEVKljSce2TE8;CANCELLED;12;REJECTED x12
00316289;Cancelled;3797;PAID;6oqnEVKljSce2TE8;CANCELLED;12;REJECTED x12
00316289;Cancelled;5602;PAID;6oqnEVKljSce2TE8;CANCELLED;8;REJECTED x8
00316289;Cancelled;6031;PAID;6oqnEVKljSce2TE8;CANCELLED;8;REJECTED x8
00316370;Cancelled;6046;PAID;AzyUD8VQavcJH3Ghp;CANCELLED;1;REJECTED x1
00316370;Cancelled;6526;PAID;AzyUD8VQavcJH3Ghp;CANCELLED;1;REJECTED x1
00315820;Cancelled;1088;PAID;AzqcxEVKkaBik1sy8;CANCELLED;21;REJECTED x21
00315820;Cancelled;2646;PAID;AzqcxEVKkaBik1sy8;CANCELLED;16;REJECTED x16
00315820;Cancelled;2830;PAID;AzqcxEVKkaBik1sy8;CANCELLED;16;REJECTED x16
00315820;Cancelled;4792;PAID;AzqcxEVKkaBik1sy8;CANCELLED;9;REJECTED x9
00315820;Cancelled;5011;PAID;AzqcxEVKkaBik1sy8;CANCELLED;9;REJECTED x9
