ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00317591;Cancelled;2356;PAID;AzqZEkVLUD5yL5Rf;CANCELLED;1;REJECTED x1
00317252;Cancelled;1764;PAID;AzZUQsVKldvQV2c6v;CANCELLED;1;REJECTED x1
00317291;Cancelled;2002;VOIDED;AzqM5MVIHpXZu7x2;CANCELLED;2;REJECTED x2
00317291;Cancelled;2082;VOIDED;AzqM5MVIHpXZu7x2;CANCELLED;2;REJECTED x2
00315705;Cancelled;1887;PAID;6objsVKlUgS62XvI;CANCELLED;1;REJECTED x1
00316910;Cancelled;269;PAID;AzZdlSVE8Wno65Fr;CANCELLED;13;REJECTED x13
00316910;Cancelled;591;PAID;AzZdlSVE8Wno65Fr;CANCELLED;8;REJECTED x8
00316910;Cancelled;645;PAID;AzZdlSVE8Wno65Fr;CANCELLED;8;REJECTED x8
00316819;Cancelled;156;PAID;169z5ZVD7q1R97Rk;CANCELLED;18;REJECTED x18
00316819;Cancelled;160;PAID;169z5ZVD7q1R97Rk;CANCELLED;17;REJECTED x17
00316819;Cancelled;401;PAID;169z5ZVD7q1R97Rk;CANCELLED;10;REJECTED x10
00316819;Cancelled;413;PAID;169z5ZVD7q1R97Rk;CANCELLED;10;REJECTED x10
00316819;Cancelled;854;PAID;169z5ZVD7q1R97Rk;CANCELLED;6;REJECTED x6
00316819;Cancelled;873;PAID;169z5ZVD7q1R97Rk;CANCELLED;6;REJECTED x6
00315449;Cancelled;1317;PAID;16A1zOVKpXTNQ1LlI;CANCELLED;0;NINGUNO
00317377;Cancelled;827;PAID;AzZX0FVJ3B22A75M;CANCELLED;1;REJECTED x1
