Payment_Name,Resultado,Ultimo_Estado_Indice,Fecha,Archivo_Origen,Fuente
PY-01813494,DESINCRONIZADO,COLLECTED,2026-04-06,Check Collections April 10 2026.pdf,Collections
PY-01805541,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805542,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805543,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805544,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805545,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805547,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805548,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805549,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805550,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805551,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805553,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805554,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805555,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01805558,CONSISTENTE_PENDING,PENDING,2026-03-16,Check Collections Marh 17-18 2026.pdf,Collections
PY-01806514,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
PY-01806522,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
PY-01806530,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
PY-01806540,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
PY-01806543,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
PY-01806545,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
PY-01806550,CONSISTENTE_PENDING,PENDING,2026-03-18,Check Collections Marh 19 2026.pdf,Collections
