Payment_Name,Resultado,Ultimo_Estado_Indice,Fecha,Archivo_Origen,Fuente
PY-01881015,CONSISTENTE_PENDING,PENDING,2026-08-17,CheckCollectionDailyReport_08182026.pdf,Collections
PY-01881021,CONSISTENTE_PENDING,PENDING,2026-08-17,CheckCollectionDailyReport_08182026.pdf,Collections
PY-01881025,CONSISTENTE_PENDING,PENDING,2026-08-17,CheckCollectionDailyReport_08182026.pdf,Collections
PY-01881033,CONSISTENTE_PENDING,PENDING,2026-08-17,CheckCollectionDailyReport_08182026.pdf,Collections
PY-01881040,CONSISTENTE_PENDING,PENDING,2026-08-17,CheckCollectionDailyReport_08182026.pdf,Collections
PY-01881042,CONSISTENTE_PENDING,PENDING,2026-08-17,CheckCollectionDailyReport_08182026.pdf,Collections
PY-01887667,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887671,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887672,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887681,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887683,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887689,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887694,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887704,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887710,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887711,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887712,CONSISTENTE_PENDING,PENDING,2026-08-26,CheckCollectionDailyReport_08272026.pdf,Collections
PY-01887713,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888259,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888261,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888264,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888265,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888272,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
