"Id","OwnerId","IsDeleted","Name","RecordTypeId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ChargentBase__AVS_Forced_Failure__c","ChargentBase__Accounting_Seed_Integration__c","ChargentBase__Active__c","ChargentBase__Allow_Unlinked_Refund__c","ChargentBase__Approve_Soft_Rejects__c","ChargentBase__Available_Card_Types__c","ChargentBase__Available_Currencies__c","ChargentBase__Available_PR_Transaction_Types__c","ChargentBase__Available_Payment_Methods__c","ChargentBase__Charge_Amount_Behavior__c","ChargentBase__Credit_Card_Data_Handling__c","ChargentBase__Currency__c","ChargentBase__Debug__c","ChargentBase__Default_Payment_Method_for_PC__c","ChargentBase__Default_Payment_Method_for_PR__c","ChargentBase__Duplicate_Transaction_Window__c","ChargentBase__Enable_Refund__c","ChargentBase__Endpoint_Override__c","ChargentBase__Ezidebit_Pass_Fees_to_Payer__c","ChargentBase__Gateway_Version__c","ChargentBase__Ignore_AVS_check__c","ChargentBase__Inherit_Chargent_Currency__c","ChargentBase__Micro_Deposits_Disabled__c","ChargentBase__ModusLink_Test_Mode__c","ChargentBase__Omit_CC_expiry__c","ChargentBase__Orbital_Platform__c","ChargentBase__PayFlow_Use_Recurring_Profiles__c","ChargentBase__Require_AVS__c","ChargentBase__Require_CCV__c","ChargentBase__Require_CVV__c","ChargentBase__SCA_enabled__c","ChargentBase__Show_Authorize_Button__c","ChargentBase__Show_Charge_Button__c","ChargentBase__Show_Create_Update_Token_Button__c","ChargentBase__Show_Setup_Recurring_Button__c","ChargentBase__Static_Charge_Amount__c","ChargentBase__Test_Mode__c","ChargentBase__Use_Reference_Transactions__c","ChargentBase__Use_Tokenization__c","ChargentBase__Verification_Forced_Failures__c","ChargentBase__Web_Payment_Status_Endpoint__c","ChargentBase__Allow_No_Hit_Transactions__c","ChargentBase__Bank_Account_Type__c"
"a1A1U000003TGNdUAO","0051U000001MRFeQAO","0","Authorize.net Test","0121U00000085Y5","2021-03-04 16:12:05","0051U000001MRFeQAO","2021-07-01 21:14:18","0051U0000076fDrQAI","2021-07-01 21:14:18","","0","1","0","0","Visa;Mastercard;Discover;American Express","United States dollar","","Credit Card;eCheck","","Clear When Token Present","","0","","","","0","","0","","0","0","0","","0","","0","0","0","0","0","1","0","0","1","","1","0","1","","","",""
"a1A1U000003TQL5UAO","0051U0000076fDrQAI","0","Cybersource Live","0121U00000085Y9","2021-04-28 21:18:19","0051U0000076fDrQAI","2026-03-11 18:08:11","0058W00000CNeHuQAL","2026-03-11 18:08:11","","0","1","0","0","Visa;Mastercard;Discover;American Express;Diners Club","United States dollar","","Credit Card","","Never Clear","","1","","","","0","","0","","1","0","0","","0","","0","0","0","0","0","1","1","0","0","","0","0","1","","","0",""
"a1A8W0000180s2RUAQ","0051U000007bbx5QAA","0","Harmoney Cybersource Live","0121U00000085Y9","2022-08-16 17:49:32","0051U000007bbx5QAA","2026-03-11 17:56:04","0058W00000CNeHuQAL","2026-03-11 17:56:04","","0","1","0","0","Visa;Mastercard;Discover;American Express;Diners Club","United States dollar","","Credit Card","","Never Clear","","0","","","","0","","0","","1","0","0","","0","","0","0","0","0","0","1","1","0","0","","0","0","1","","","0",""
"a1A8W00001FXw41UAD","0058W00000CNeHuQAL","0","Authorize.net Harmoney Live","0121U00000085Y5","2023-03-31 19:22:55","0058W00000CNeHuQAL","2023-05-10 22:04:43","0051U000001MRFeQAO","2023-05-10 22:04:43","","0","0","0","0","Visa;Mastercard;Discover;American Express","United States dollar","","Credit Card","","Clear When Token Present","","0","","","","0","","0","","0","0","0","","0","","0","0","0","0","0","1","1","1","0","","0","0","1","","","",""
"a1A8W00002FRNbBUAX","0058W00000CNeHuQAL","0","Authorize.net Monee Live","0121U00000085Y5","2023-06-27 19:13:56","0058W00000CNeHuQAL","2023-09-07 20:45:55","0051U000001MRFeQAO","2023-09-07 20:45:55","","0","1","0","0","Visa;Mastercard;Discover;American Express","United States dollar","","Credit Card","","Clear When Token Present","","0","","","","0","","0","","0","0","0","","0","","0","0","0","0","0","1","0","0","0","","0","0","1","","","",""
"a1A8W00002K9pptUAB","0058W00000CNeHuQAL","0","Authorize.net Live 2558628","0121U00000085Y5","2023-05-10 20:47:50","0058W00000CNeHuQAL","2024-11-20 18:23:35","0051U000001MRFeQAO","2024-11-20 18:23:35","","0","1","0","0","Visa;Mastercard;Discover;American Express","United States dollar","","Credit Card","","Clear When Token Present","","0","","","","0","","0","","0","0","0","","0","","0","0","0","0","0","1","0","0","1","","0","0","1","","","0",""
"a1AUU0000031yhx2AA","0051U000001MRFeQAO","0","Cybersource Live (JUL 2025)","0121U00000085Y9","2025-07-11 12:12:11","0051U000001MRFeQAO","2025-07-11 15:51:25","0051U000001MRFeQAO","2025-07-11 15:51:25","","0","0","0","0","Visa;Mastercard;Discover;American Express;Diners Club","United States dollar","","Credit Card","","Clear When Token Present","","0","","","","0","","0","","0","0","0","","0","","0","0","0","0","0","1","1","1","1","","0","0","1","","","1",""
