Payment_Name,Contract,Fecha_Return_R10,Monto,Reason_Description,Estado_Salesforce_Actual,Clasificacion,Source_File_R10
PY-01872289,00317418,2026-07-30,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-08-19 -> REJECTED/PENDING),ACHReturnsReport_08192026.pdf
PY-01880352,00274687,2026-08-13,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_08172026.pdf
PY-01880378,00304787,2026-08-13,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_08272026.pdf
PY-01880427,00317867,2026-08-13,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_08272026.pdf
PY-01883331,00316864,2026-08-18,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_09032026.pdf
PY-01884599,00316755,2026-08-20,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_09032026.pdf
PY-01884645,00310862,2026-08-20,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_09022026.pdf
PY-01884676,00317478,2026-08-20,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_08242026.pdf
PY-01884692,00310862,2026-08-20,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACHReturnsReport_09022026.pdf
PY-01885207,00316444,2026-08-21,0.00,CUSTOMER ADVISES NOT AUTHORIZED,ACCEPTED/COLLECTED,PENDIENTE_DE_APLICAR,ACH Returns Report_09_04_2026.pdf
PY-01889059,00314671,2026-08-28,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-08-31 -> REJECTED/PENDING),ACHReturnsReport_08312026.pdf
PY-01889111,00315994,2026-08-28,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-08-31 -> REJECTED/PENDING),ACHReturnsReport_08312026.pdf
PY-01894616,00317509,2026-09-03,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/RETURN,YA_RESUELTO_COMO_RETURN,ACH Returns Report_09_04_2026.pdf
