ContractNumber,Estado,FechaUltimaRevision,Detalle
00315025,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315085,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315094,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315145,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315285,CANCELLED_OK,2026-09-22,ACH ya resuelto
00241829,CANCELLED_OK,2026-09-22,ACH ya resuelto
00274381,CANCELLED_OK,2026-09-22,ACH ya resuelto
00309408,PENDING_ACH_PAYMENT,2026-09-22,PY-01780253 en RETURN; PY-01780263 en RETURN; PY-01787479 en PENDING; PY-01788724 en PENDING; PY-01788734 en PENDING; PY-01788736 en PENDING; PY-01792186 en PENDING; PY-01792202 en PENDING
00309545,CANCELLED_OK,2026-09-22,ACH ya resuelto
00310241,CANCELLED_OK,2026-09-22,ACH ya resuelto
00310489,CANCELLED_OK,2026-09-22,ACH ya resuelto
00311391,CANCELLED_OK,2026-09-22,ACH ya resuelto
00311956,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312116,PENDING_ACH_PAYMENT,2026-09-22,PY-01770735 en PENDING; PY-01770737 en PENDING; PY-01770740 en PENDING; PY-01770742 en PENDING; PY-01771623 en PENDING; PY-01785891 en PENDING
00312182,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312290,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313121,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313173,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313203,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313224,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313225,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313274,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313283,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313326,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313425,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313430,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313535,PENDING_ACH_PAYMENT,2026-09-22,PY-01771669 en PENDING; PY-01771749 en PENDING; PY-01771782 en PENDING; PY-01771817 en PENDING; PY-01771861 en PENDING; PY-01775794 en PENDING
00313619,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313828,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313908,PENDING_ACH_PAYMENT,2026-09-22,PY-01771720 en PENDING; PY-01771762 en PENDING; PY-01771793 en PENDING; PY-01771842 en PENDING; PY-01775791 en PENDING
00314020,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314052,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314064,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314091,PENDING_ACH_PAYMENT,2026-09-22,PY-01771691 en PENDING; PY-01771750 en PENDING; PY-01771780 en PENDING; PY-01771823 en PENDING; PY-01771866 en PENDING; PY-01775795 en PENDING
00314111,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314161,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314205,PENDING_ACH_PAYMENT,2026-09-22,PY-01771760 en PENDING; PY-01771761 en PENDING; PY-01771788 en PENDING; PY-01771832 en PENDING; PY-01773059 en PENDING; PY-01774863 en PENDING; PY-01788731 en PENDING
00314217,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314327,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314373,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314389,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314403,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314413,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314438,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314451,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314479,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314497,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314499,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314616,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314617,CANCELLED_OK,2026-09-22,ACH ya resuelto
